endpoint_label,path,params,success,row_count,raw_json_path
artist_metadata,/api/artist/240495,{},True,0,chartmetric_len_faki_raw\api__artist__240495.json
artist_urls,/api/artist/240495/urls,{},True,0,chartmetric_len_faki_raw\api__artist__240495__urls.json
spotify_followers,/api/artist/240495/stat/spotify,"{""field"": ""followers"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,366,chartmetric_len_faki_raw\api__artist__240495__stat__spotify__field-followers__interpolated-false__since-2025-06-09__until-2026-06-09.json
spotify_listeners,/api/artist/240495/stat/spotify,"{""field"": ""listeners"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,366,chartmetric_len_faki_raw\api__artist__240495__stat__spotify__field-listeners__interpolated-false__since-2025-06-09__until-2026-06-09.json
spotify_popularity,/api/artist/240495/stat/spotify,"{""field"": ""popularity"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,319,chartmetric_len_faki_raw\api__artist__240495__stat__spotify__field-popularity__interpolated-false__since-2025-06-09__until-2026-06-09.json
instagram_followers,/api/artist/240495/stat/instagram,"{""field"": ""followers"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,319,chartmetric_len_faki_raw\api__artist__240495__stat__instagram__field-followers__interpolated-false__since-2025-06-09__until-2026-06-09.json
tiktok_followers,/api/artist/240495/stat/tiktok,"{""field"": ""followers"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,106,chartmetric_len_faki_raw\api__artist__240495__stat__tiktok__field-followers__interpolated-false__since-2025-06-09__until-2026-06-09.json
tiktok_likes,/api/artist/240495/stat/tiktok,"{""field"": ""likes"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,106,chartmetric_len_faki_raw\api__artist__240495__stat__tiktok__field-likes__interpolated-false__since-2025-06-09__until-2026-06-09.json
youtube_channel_subscribers,/api/artist/240495/stat/youtube_channel,"{""field"": ""subscribers"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,366,chartmetric_len_faki_raw\api__artist__240495__stat__youtube_channel__field-subscribers__interpolated-false__since-2025-06-09__until-2026-06-09.json
youtube_channel_views,/api/artist/240495/stat/youtube_channel,"{""field"": ""views"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,366,chartmetric_len_faki_raw\api__artist__240495__stat__youtube_channel__field-views__interpolated-false__since-2025-06-09__until-2026-06-09.json
youtube_artist_daily_views,/api/artist/240495/stat/youtube_artist,"{""field"": ""daily_views"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,0,chartmetric_len_faki_raw\api__artist__240495__stat__youtube_artist__field-daily_views__interpolated-false__since-2025-06-09__until-2026-06-09.json
youtube_artist_monthly_views,/api/artist/240495/stat/youtube_artist,"{""field"": ""monthly_views"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,0,chartmetric_len_faki_raw\api__artist__240495__stat__youtube_artist__field-monthly_views__interpolated-false__since-2025-06-09__until-2026-06-09.json
soundcloud_followers,/api/artist/240495/stat/soundcloud,"{""field"": ""followers"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""interpolated"": ""false""}",True,308,chartmetric_len_faki_raw\api__artist__240495__stat__soundcloud__field-followers__interpolated-false__since-2025-06-09__until-2026-06-09.json
cpp_score,/api/artist/240495/cpp,"{""stat"": ""score"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09""}",True,345,chartmetric_len_faki_raw\api__artist__240495__cpp__since-2025-06-09__stat-score__until-2026-06-09.json
cpp_rank,/api/artist/240495/cpp,"{""stat"": ""rank"", ""since"": ""2025-06-09"", ""until"": ""2026-06-09""}",True,345,chartmetric_len_faki_raw\api__artist__240495__cpp__since-2025-06-09__stat-rank__until-2026-06-09.json
where_people_listen,/api/artist/240495/where-people-listen,"{""since"": ""2025-06-09"", ""until"": ""2026-06-09"", ""limit"": 50, ""offset"": 0, ""includeEstimates"": ""true""}",True,9329,chartmetric_len_faki_raw\api__artist__240495__where-people-listen__includeEstimates-true__limit-50__offset-0__since-2025-06-09__until-2026-06-09.json
