id;lineup
2376041;"Solomun; Mind Against; Butch; VANROOSE"
2386758;"Solomun; Chloé Caillet"
2386759;"Solomun; Idris Elba"
2386761;Solomun
2400951;"Amaliah; Bushbaby; Call Super; Chloé Caillet; Danielle; Francesco Del Garda; HALFPINT; Lu.Re; Luciano; Nyra"
2329350;"Armin van Buuren; Beatrice M.; Dean Bryce; Diplo; Busy P; Tatyana Jane; Disclosure; DRUMS AND CHANTS; DYEN; Enrico Sangiuliano"
2386763;"Solomun; Skrillex"
2386767;"Solomun; Jamie xx"
2386769;"Solomun; Peggy Gou"
2229702;"Chris Stussy; Mochakk; David Löhlein; Dennis Cruz; Joseph Capriati; DJ Gigola; DJ Hyperdrive; Gerd Janson; I Hate Models; KUKO"
2386771;"Solomun; Anyma"
2378244;"Solomun; Michael Bibi; Chris Stussy; Patrischa; Daughter In Law"
2386772;"Solomun; Dixon"
2386774;Solomun
2386776;"Solomun; DJ Gigola"
2375358;"Anyma; Solomun; Son of Son; Henri Bergmann"
2386777;"Solomun; Max Styler"
2353196;"2ManyDJs; Alinka; Amaliah; Anish Kumar; ATRIP; BASHKKA; BELLA (NL); Ben UFO; Big Ang; Bradley Zero"
2386779;"Solomun; Barry Can't Swim"
2386780;Solomun
2395557;"Bicep; Theo Parrish; Daphni; Skee Mask; Smerz; Avalon Emerson; Octo Octa; Eris Drew; Marcel Dettmann; Sandwell District"
2407367;"Four Tet; Loukeman; DJ Frog"
2323058;"Four Tet; Aurora Halal; Barker; Ben UFO; Gilles Peterson; Sofia Kourtesis"
2292225;"Skrillex; Four Tet; Faithless; Scooter; Shaggy; EVE (1); 999999999; Antony Szmierek; Brutalismus 3000; Camo & Krooked"
2442421;"The xx; Moby; Dijon; Blood Orange; Lykke Li; DJ Koze; Terra; Four Tet; Oklou; MC Yallah"
2420835;Four Tet
2461250;"Airwolf Paradise; Azzecca; Baby J; Bassvictim; Beltran; Ben Sterling; Ben UFO; Channel Tres; Clearcast; Daphni"
2391434;"Skrillex; The Blessed Madonna; Four Tet; Dom Dolla; KETTAMA; Seth Troxler"
2428241;"Adam Port; Beltran; Ben Sterling; Four Tet; horsegiirL; Kelela; KI/KI; PAWSA; Tokischa; Tricky"
2391964;"Kolsch; Alyssa & Gia; Carl Bergé; Joëlla Jackson; JANE RYSE; KIRSCH"
2365299;"Dombresky; DREYA; Kolsch; Wade"
2292304;"CamelPhat; Rødhåd; MARRØN; Adam Ten; Kolsch; Ben Sims; Ogazón; Dyed Soundorom; Adriana Ruas; Catarina Silva"
2426726;"Kolsch; Ashibah; Kariina; SKAI (LT); Desaint (DK); Ena Cosovic"
2416757;"2HOT2PLAY; 3LEEZA; HANÀ; 999999999; A.N.I.; Adam Beyer; Adrian Mills; AKA AKA; Alfred Heinrichs; Alicia Hahn"
2412317;"Deco (BE); Mahmut Orhan; Hugel; Shimza; Mall Grab; Indira Paganotto; Hardwell; Kolsch; Miss Monique; Nicky Romero"
2354081;"Deer Jade; Eridu; Greg S; Helsloot; IOSIO; Julian Fijma; Kolsch; Lusago; MALUGI; Manillo"
2404373;"Kolsch; Klangphonics; Tonic Walter; Marek Hemmann; Anthony Rother; Kid Simius; Gregor Tresher; Karotte; Thomas Lizzara; Kaiserdisco"
2302716;"AAT (NL); Adam Ten; Alarico; Alexia Glensy; Ammé; Argia; ATRIP; Bart Skils; Bastienne; Ben Klock"
2431451;"Kolsch; Denes Toth"
2370306;"Kolsch; Gorgon City; Paco Osuna; The Menendez Brothers; Raul Rodriguez"
2442229;"Kolsch; Viken Arman; Kiriku"
2426743;"Andhim; Agoria; Friction; Kolsch; Mind Against; T & Sugah; tnt (1); The Prototypes; Vieze Asbak; Vortek's"
