artist;date;title;venue;city;link
Solomun;2026-06-13;Brunch présente Solomun in Paris;Hippodrome de Vincennes;Paris;https://ra.co/events/2376041
Solomun;2026-06-14;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386758
Solomun;2026-06-21;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386759
Solomun;2026-06-28;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386761
Solomun;2026-06-29;CircoLoco Ibiza - Week 10;DC-10;Ibiza;https://ra.co/events/2400951
Solomun;2026-07-03;KappaFuturFestival 2026;Parco Dora;Turin;https://ra.co/events/2329350
Solomun;2026-07-05;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386763
Solomun;2026-07-12;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386767
Solomun;2026-07-19;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386769
Solomun;2026-07-25;Love Family Park 2026;Rebstockpark;Frankfurt;https://ra.co/events/2229702
Solomun;2026-07-26;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386771
Solomun;2026-08-01;THE PARK;Hardturm Areal;Zurich;https://ra.co/events/2378244
Solomun;2026-08-02;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386772
Solomun;2026-08-09;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386774
Solomun;2026-08-16;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386776
Solomun;2026-08-18;Anyma presents ÆDEN;[UNVRS];Ibiza;https://ra.co/events/2375358
Solomun;2026-08-23;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386777
Solomun;2026-08-27;Lost Village 2026;Norton Disney;Midlands;https://ra.co/events/2353196
Solomun;2026-08-30;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386779
Solomun;2026-09-06;Solomun+1;Pacha Ibiza;Ibiza;https://ra.co/events/2386780
Bicep;2026-09-18;Making Time ∞;Fort Mifflin;Philadelphia;https://ra.co/events/2395557
Four Tet;2026-06-26;Four Tet - Parc Jean-Drapeau;Piknic Électronik / Parc Jean Drapeau;Montreal;https://ra.co/events/2407367
Four Tet;2026-08-08;krankbrother presents: Four Tet All Dayer;Finsbury Park;London;https://ra.co/events/2323058
Four Tet;2026-08-12;Boomtown Fair Chapter 5: Radical Redesign;Matterley Bowl;South + East;https://ra.co/events/2292225
Four Tet;2026-08-13;Way Out West;Slottsskogen;Gothenburg;https://ra.co/events/2442421
Four Tet;2026-09-17;Teksupport: Four Tet;Brooklyn Storehouse;New York City;https://ra.co/events/2420835
Four Tet;2026-09-26;Portola;TBA - Pier 80;San Francisco/Oakland;https://ra.co/events/2461250
Four Tet;2026-10-10;Head Trip Festival 2026;Empire Polo Club;Palm Springs;https://ra.co/events/2391434
Four Tet;2026-10-16;III Points 2026;Mana Wynwood;Miami;https://ra.co/events/2428241
Kolsch;2026-06-13;Watergate Open Air with Kölsch, Joëlla Jackson, JANE RYSE, Alyssa & Gia;SAGE;Berlin;https://ra.co/events/2391964
Kolsch;2026-06-20;elrow Ibiza;[UNVRS];Ibiza;https://ra.co/events/2365299
Kolsch;2026-07-03;LISB-ON 2026;Jardim Keil do Amaral;Lisbon;https://ra.co/events/2292304
Kolsch;2026-07-11;Gravity Beach Festival - Copenhagen;Amager Strandpark;Copenhagen;https://ra.co/events/2426726
Kolsch;2026-07-17;Sea You 'Beach Republic' 2026;TBA - TUNISEE;Freiburg;https://ra.co/events/2416757
Kolsch;2026-07-24;Tomorrowland W2;De Schorre;All;https://ra.co/events/2412317
Kolsch;2026-07-25;Complex Festival 2026 with Paul Kalkbrenner, Kölsch, Chris Stussy, Winson, MALUGI & many more;Complex Maastricht;All;https://ra.co/events/2354081
Kolsch;2026-08-07;Circle of Leaves Festival;Marbach-Stausee;Hesse;https://ra.co/events/2404373
Kolsch;2026-08-08;Loveland Festival 2026;Sloterpark;Amsterdam;https://ra.co/events/2302716
