artist_id_a,artist_name_a,artist_id_b,artist_name_b,cooccur_count,first_played_together,last_played_together,events_together,avg_total_visitors_together,avg_actual_tickets_together,avg_ticketing_revenue_together,avg_bar_revenue_together,avg_total_revenue_together,avg_total_cost_together,avg_event_result_together,avg_occupancy_rate_together
artist_00041,Antal,artist_00283,HUNEE,4,2024-12-20,2026-12-18,ANTAL B2B HUNEE - All Night Long | Antal b2b Hunee - All Night Long | Hunee b2b Antal | RUSH HOUR - ADE,1137.25,1142.0,31267.25,35382.18,63409.0,35697.307499999995,27711.75,0.911717105263158
artist_00223,Doudou MD,artist_00623,Samuel Deep,4,2024-04-26,2024-11-30,SlapFunk | SlapFunk x Vault Sessions | VBX & SlapFunk presents fabric25: Continuum,1670.5,1611.75,34574.25,38876.9625,51138.75,37190.424999999996,13948.75,0.9598606811145511
artist_00041,Antal,artist_00141,Coco Maria,3,2024-10-19,2026-05-23,RUSH HOUR - ADE | Rainbow Disco Club | Rush Hour - ADE,1750.6666666666667,1721.6666666666667,51997.666666666664,51511.193333333336,109013.0,47089.10666666667,61924.0,0.8781499202551833
artist_00041,Antal,artist_00378,Kléo,3,2024-10-19,2026-05-23,Rainbow Disco Club | Rush Hour - ADE | This Is Gala x Rush Hour,1615.0,1633.6666666666667,43164.666666666664,43723.386666666665,92118.0,43146.98333333334,48971.0,0.8067464114832537
artist_00644,Shoal,artist_00657,Spekki Webu,3,2024-03-31,2026-01-17,Contrarium club night | Ratherlost - Easter Sunday | Ratherlost - New Year's Day,1499.3333333333333,1448.3333333333333,44509.666666666664,24441.579999999998,76981.66666666667,60014.68,16966.666666666668,0.975
artist_00507,Newtone,artist_00704,Tjade,3,2025-04-12,2026-10-24,Agrio Club | Agrio Club - ADE | Agrio Club x Ritmo Fatale,523.3333333333334,513.3333333333334,12181.0,29015.63,23814.0,13285.019999999999,10529.0,0.5233333333333333
artist_00128,Christian AB,artist_00262,Francesco del Garda,3,2024-02-24,2026-10-23,VBX | VBX & SlapFunk presents fabric25: Continuum | VBX 11,971.3333333333334,909.6666666666666,13585.0,33801.105,29252.666666666668,19873.62,9379.333333333334,0.8114860681114551
artist_00041,Antal,artist_00375,Kikiorix,2,2025-05-24,2026-05-23,Rainbow Disco Club,1930.5,1981.5,53361.0,58799.05,118577.5,41195.575,77382.0,0.9241590909090909
artist_00141,Coco Maria,artist_00378,Kléo,2,2024-10-19,2026-05-23,Rainbow Disco Club | Rush Hour - ADE,1761.0,1757.5,49791.0,52683.28,106241.5,38608.98,67632.5,0.8619617224880383
artist_00628,Sarkawt Hamad,artist_00741,Wata Igarashi,2,2025-10-26,2026-05-02,CODA by Ratherlost & Pax-Romana - ADE | Patio - Courtyard Opening,1825.0,1707.0,52367.5,41111.755000000005,100088.5,46682.175,53406.5,0.957121212121212
artist_00041,Antal,artist_00193,Daiki,2,2024-05-25,2025-05-24,Rainbow Disco Club,2019.5,2063.5,54181.0,62600.69,126287.5,80670.51,45617.0,0.997404071184788
artist_00345,Julian Anthony,artist_00511,Noach,2,2024-10-05,2026-04-26,Club Roto | Club Roto x Modern Funktion,1583.5,1409.5,28829.5,29762.309999999998,61054.0,15648.3,45405.5,
artist_00345,Julian Anthony,artist_00740,Voigtmann,2,2024-10-05,2026-04-26,Club Roto | Club Roto x Modern Funktion,1583.5,1409.5,28829.5,29762.309999999998,61054.0,15648.3,45405.5,
artist_00511,Noach,artist_00740,Voigtmann,2,2024-10-05,2026-04-26,Club Roto | Club Roto x Modern Funktion,1583.5,1409.5,28829.5,29762.309999999998,61054.0,15648.3,45405.5,
artist_00120,Chaos in The CBD,artist_00491,Moxie,2,2024-05-25,2025-04-26,Lofi King's Day | Rainbow Disco Club,2142.5,2217.0,58826.5,60542.025,128526.0,83894.93,44631.0,1.058904071184788
